Code,Description,Sell price exc VAT,Sell price inc VAT
EQUIPALAZONEINJ50,Equipalazone (Phenylbutazone 200mg/ml) Injectable (per 50ml bottle),£49.75,£59.70
EQUIPALAZONEINJ,Equipalazone (Phenylbutazone 200mg/ml) Injectable (per ml),£1.42,£1.70
EQUIPALAZONESACHET,Equipalazone (Phenylbutazone) Oral (Per 1g Sachet),£1.10,£1.32
EQUIPALAZONE100,Equipalazone (Phenylbutazone/Bute) Oral (Box of 100 Sachets),£101.99,£122.39
EQUIPALAZONEPASTE,Equipalazone Bute Paste (per 36g syringe),£33.57,£40.28
EQUIPRED100,Equipred 50mg Prednisolone Tablets (per box of 100),£85.14,£102.17
EQUIPREDTABLET,Equipred 50mg Prednisolone Tablets (per tablet),£0.86,£1.03
EQUITOPMYOPLAST,Equitop Myoplast Protein Supplement (per 1.5kg tub),£78.09,£78.09
ERTUGLIFLOZINPASTE,Ertugliflozin 5mg/ml Oral Paste (per 100ml tub),£154.06,£184.87
ESOMEPRAZOLETUBE,Esomeprazole 100mg/ml Oral Paste (per 12ml tube),£24.87,£29.84
ESOMEPRAZOLECAPS,Esomeprazole 40mg Oral Capsules (per box of 28),£11.45,£13.74
PG,Estrumate (Cloprostenol) (PG) 250ug/ml (per ml),£4.62,£5.54
EXPORT,"EU Export Certification (Incl Pre-Export Documentation, Clinical Exam & Final Export Cert",£139.05,£166.86
EURICANHERPES,Eurican Herpes (CHV) Vaccine,£49.43,£59.31
EUTHANIMAL,Euthanimal (400mg/ml Pentobarbitol) Inj per ml,£0.74,£0.89
EUTHDOGCAT,Euthanise Dog/Cat,£68.75,£82.50
EUTHFARM,Euthanise Farm Animal,£42.92,£51.50
EUTHHORSE,Euthanise Horse,£87.34,£104.81
EUTHASOL,Euthasol (400mg/ml Pentobarbitol) Inj per ml,£0.74,£0.89
EVAELISA,EVA Serology ELISA (Rainbow Lab),£16.00,£19.20
EXAGUS1KG,Exagus/Pectigus Advance 1kg,£55.00,£55.00
EXAGUS3KG,Exagus/Pectigus Advance 3kg,£124.00,£124.00
EXAMCERT,Examine & Certify Horse,£62.00,£74.40
EXAMEYE,Examine Eye,£50.47,£60.56
EXAMPLACENTA,Examine Placenta and Amnion,£36.00,£43.20
EXAMMARE,Examine Post-Foaling Mare (including internal manual palpation),£65.41,£78.49
EXCISEHYMEN,Excise Hymenal Tissue Remnant,£60.26,£72.31
TOOTH,Extract Tooth (per extraction),£60.77,£72.92
WOLF,Extract Wolf Tooth (per extraction),£27.30,£32.75
6002696,EzyVet test,£1.00,£1.20
CLOSTPERF,Faecal Test for Clostridia perfringens toxin,£38.11,£45.73
WORMDISCOUNT,Faecal WEC,£10.80,£12.96
WORM,Faecal Worm Egg Count (Rainbow Lab),£13.50,£16.20
CONSULTCAT,Feline Consultation,£41.20,£49.44
FENFLOR,Fenflor 300mg/ml Injection,£54.20,£65.04
AMPUTATE,Fetotomy Wire Limb Amputation (post-mortem),£81.89,£98.26
BLOODFIBRINOGEN,Fibrinogen Blood Test (Rainbow Lab),£12.00,£14.40
FINADYNE100,Finadyne (Flunixin Meglumine 50mg/ml) Inj (per 100ml bottle),£67.73,£81.28
FINADYNEINJ,Finadyne (Flunixin Meglumine 50mg/ml) Inj per ml,£1.40,£1.68
FINADYNEPASTEBOX,Finadyne Oral Paste (per box of 6 syringes),£100.72,£120.86
FINADYNEPASTE,Finadyne Oral Paste (per syringe),£23.00,£27.60
FINASTERIDE5,Finasteride 5mg Oral (per tablet),£0.72,£0.86
FNA,Fine Needle Aspirate Mass/Cyst,£23.18,£27.81
FINILAC15,Finilac (50ug/ml Cabergoline) Oral Solution (per 15ml bottle),£66.46,£79.75
VETTING5STAGE,Five Stage Pre Purchase Vetting Examination (includes 6 months VDS blood storage),£325.00,£390.00
FLAMAZINE500,Flamazine Cream (per 500g tub),£44.79,£53.75
FLAMAZINETUBE,Flamazine Cream (per 50g tube),£13.98,£16.78
FLIXOTIDE250,Flixotide 250mcg Evohaler (120 dose) Inhaler,£71.48,£85.77
FLU,Flu Vaccination (Proteq Flu),£32.29,£38.75
FT,Flu-Tet Vaccination (Proteq Flu-Te),£35.64,£42.77
AXIOMCYSTF,Fluid Cytology from Mass/Cyst (Axiom Laboratories),£62.18,£74.61
FLUORESCEINMIN,Fluorescein Eye Drops (per single dose),£2.16,£2.59
FLUORESCEINBUNDLE,Fluorescein Eye Test Bundle,£0.00,£0.00
TEARDUCT,Flush Tear Duct,£55.00,£66.00
IGG,Foal IgG (Rainbow Lab),£18.00,£21.60
FOALCONFORMSCHEME,Foal Limb Conformation Assessment,£0.00,£0.00
FOALCONFORM,Foal Limb Conformation Assessment,£28.33,£33.99
FOALING1,Foaling - Assisted Delivery,£118.45,£142.14
FOALING2,Foaling - Dystocia Resolution and Assisted Delivery,£242.05,£290.46
FOALING3,Foaling - Severe Dystocia Resolution and Assisted Delivery,£355.35,£426.42
VLEAKEFOC,FOC Call-Out Leake Stud,£0.00,£0.00
FOETALSEXING,Foetal Sex Determination,£108.15,£129.78
FOLEY14FR,Foley Catheter 30cm 14 French,£3.29,£3.95
SPECIALISTCONSULTFOLLOWUP,Follow-Up Specialist Reproductive Consultation,£128.75,£154.50
AXIOMFREET4,Free T4 (Gold Standard Dialysis) (Axiom Lab),£57.21,£68.65
FRONTLINE250,Frontline Spray (per 250ml bottle),£35.63,£42.76
FROZENPACKAGEFIRST,Frozen first cycle package,£515.00,£618.00
FROZENSEMENDISTRIBUTION,"Frozen Semen Distrib (incl straw processing & transfer, flask nitrogen top-up, sealing, packaging)",£92.70,£111.24
FROZENHANDLING,Frozen Semen Handling Fee,£61.80,£74.16
FROZENSTORAGE20,Frozen Semen Storage per stallion (10 to 20 doses) (per month),£15.50,£18.60
FROZENSTORAGE50,Frozen Semen Storage per stallion (21-50 doses) (per month),£18.50,£22.20
FROZENSTORAGE10,Frozen Semen Storage per stallion (5 to 10 doses) (per month),£9.50,£11.40
FROZENSTORAGE150,Frozen Semen Storage per stallion (51-150 doses) (per month),£25.75,£30.90
FROZENSTORAGE5,Frozen Semen Storage per stallion (up to 5 doses) (per month),£6.75,£8.10
FUCIBET,Fucibet Cream (per 30g tube),£13.25,£15.90
XRAYSALES36,Full Set of Sales Radiographs (36 views) (incl upload to cloud/repository),£493.50,£592.20
FUNGALCULT,Fungal Microscopy and Culture (Rainbow Lab),£36.00,£43.20
GALASTOPP15,Galastop (50ug/ml Cabergoline) Oral Solution (per 15ml bottle),£71.32,£85.58
GASTROSCOPY,Gastroscopy (Endoscopic Examination of Oesophagus & Stomach),£154.50,£185.40
GAUZE10,Gauze Swabs (10cm x 10cm 8 Ply) (per pack),£5.54,£6.65
GAUZE7,Gauze Swabs (7.5cm x 7.5cm 8 Ply) (per pack),£4.32,£5.18
GENT,Gentamycin 10% Injectable (per ml),£1.62,£1.94
GLANDERS,Glanders CFT Test (APHA),£42.13,£50.55
GLENWOODCHILLEDFIRST,Glenwood Stud Chilled AI Package FIRST CYCLE,£395.00,£474.00
GLENWOODCHILLEDSUBSEQ,Glenwood Stud Chilled AI Package SUBSEQUENT CYCLES,£312.50,£375.00
GLENWOODFROZENFIRST,Glenwood Stud Frozen AI Package FIRST CYCLE,£515.00,£618.00
GLENWOODFROZENSUBSEQ,Glenwood Stud Frozen AI Package SUBSEQUENT CYCLES,£437.50,£525.00
GLUCOSEINJ,Glucose Injection 10g/20ml (per ampoule),£2.99,£3.59
BLOODGCTLAB,Granulosa Cell Tumour Panel (Rainbow Lab),£96.00,£115.20
GPWASH,Guttural Pouch Wash (includes sterile fluid and consumables),£54.00,£64.80
HAEMATOLOGYRAINBOW,Haematology (Blood Cell Profile) (Rainbow Lab),£28.00,£33.60
HARTMANNSLRING,Hartmann's Lactated Ringer Solution (per 500ml bottle),£8.90,£10.68
HEMO15,Hemo-15 (per 100ml bottle),£54.25,£65.10
COLONAID3.2,Hestevard Colonaid (per 3.2Kg tub),£90.00,£90.00
DURAENAT,Hestevard Dura-E  Natural 1L,£121.00,£121.00
HEPALYTE1,Hestevard Hepalyte Liquid 1L,£91.50,£91.50
PROFIXBIND,Hestevard Profix +BIND (per box of 20 sachets),£42.00,£42.00
PROFIXPASTE30,Hestevard Profix Advanced Paste (per 30ml syringe),£19.50,£19.50
SMECTIZORBBIG,Hestevard Smectizorb (BioSponge) (per 2.5kg tub),£42.50,£42.50
SMECTIZORB500,Hestevard Smectizorb (BioSponge) (per 500g course),£16.50,£16.50
HILLSCANINEMETMOT,Hills Canine Metabolic & Mobility (per 4kg bag),£33.70,£40.44
ECGHIRE,Hire of ECG System (Rainbow Equine Hospital),£121.69,£146.03
TEASERBITCHHIRE,Hire of In-Season Teaser Bitch,£41.67,£50.00
HISTO,Histopathology (Rossdales Lab),£60.05,£72.06
FOALIDCHIP,"Horse/Foal ID Markings, Microchip, +/-DNA, Certification & Postage",£90.00,£108.00
HY50,HY-50 (Sodium Hyaluronate) Injection (per 3ml syringe),£122.77,£147.33
HYDROCORTISONE15,Hydrocortisone 1% Topical Cream (per 15g tube),£6.56,£7.88
HYDROCORTISONE50,Hydrocortisone 1% Topical Cream (per 50g tube),£14.30,£17.15
HYPERMUNERE,Hypermune Plasma RE (per 1L bag),£437.00,£524.40
HYSTEROSCOPICPGE,Hysteroscopic Application of PGE to Oviductal Papillae,£200.00,£240.00
DIARRHOEAPROFILEIH,"IH Diarrhoea Profile (Clostridium diff, Clostridium perf, Rotavirus, Cryptosporidium)",£85.23,£102.28
IMAVEROL,Imaverol (Enilconazole) Topical Liquid (per 100ml bottle),£47.98,£57.58
IMPORTDUTY,Import Duty Costs,£322.01,£322.01
IMPROVACGNRFVACC,Improvac GNRF Vaccine (per 2ml dose),£58.33,£70.00
IMSLUBE5,IMS Thick Vet Lube 5L,£11.28,£13.54
ANAESTHETISE,"Induction, Maintenance & Monitoring of Anaesthesia (per 30 mins)",£82.40,£98.88
6002419,Inj Fee Test,£4.17,£5.00
INJECTCUPS,Inject Endometrial Cups,£30.90,£37.08
EN10171A,Injection Needle (5mm),£85.79,£102.95
INJFEE,Injection Service Fee,£5.71,£6.85
INRA96,Inra 96,£31.32,£37.58
INSEM,Inseminate Mare Chilled/Fresh (incl routine semen assessment & certification),£55.00,£66.00
INSEMSCHEME,Inseminate Mare Chilled/Frozen SCHEME  (incl routine semen assessment & certification),£0.00,£0.00
PRIDIN,INSERT Progesterone-Releasing Intravaginal Device (PRID),£16.80,£20.16
INSOLVACC,Insol Dermatophyton Vaccine (per ml),£149.00,£178.80
INSULIN,Insulin Blood Lab Fee (Rainbow Lab),£26.50,£31.80
INSURANCEADMIN,Insurance Claim Administration Charge for completion of insurance forms by a Veterinary Surgeon,£25.00,£30.00
INSURANCECONTINUATION,Insurance Claim Administration Charge for completion of subsequent insurance forms by a Veterinary S,£0.00,£0.00
INTRAEPICAINE,Intra-Epicaine (Mepivacaine 2%) Injectable (per 10ml vial) (Local Anaesthetic),£14.55,£17.46
ORALEXAM,Intra-Oral Examination,£46.35,£55.62
SUPPOSITORY,Intrarectal Administration Fee,£24.75,£29.70
INTRAUTEADFEE,Intrauterine administration fee,£36.00,£43.20
INFUSIONPEN,Intrauterine Antibiotic Infusion (Procaine Penicillin + Sterile Saline),£41.50,£49.80
INFUSIONPENGENT,"Intrauterine Antibiotic Infusion (Procaine Penicillin, Gentamycin, Sterile Saline)",£49.50,£59.40
UTEINFUSBUNDLE,Intrauterine Antimicrobial Infusion,£0.00,£0.00
INFUSIONPEROXIDE,Intrauterine Antimicrobial Infusion (60ml H₂O₂ 1% with sterile Hartmann's Solution),£35.00,£42.00
COCONUT,Intrauterine Coconut Oil Dioestrus Instillation,£34.76,£41.72
KEROSENEINF,Intrauterine Instillation of 120ml Kerosene via Uterine Lavage Catheter,£31.42,£37.70
INFUSIONSALINE,Intrauterine Sodium Chloride Luteolytic Infusion,£35.00,£42.00
GIVINGSETSTANDARD,Intravenous Fluid Giving Set,£10.96,£13.15
IVINJFEE,Intravenous Injection Service Fee,£10.50,£12.60
IVRP,Intravenous Regional Perfusion (IVRP),£82.40,£98.88
INVOKANA,Invokana (Canagliflozin) 300mg (per tablet),£3.34,£4.01
BLOODIONISEDCALCIUM,Ionised Calcium Blood Test (Rainbow Lab),£21.00,£25.20
IRRIPOD,Irripod Sterile Saline for wounds (per 20ml pod),£0.43,£0.52
JOINTBLOCKKNEE,Joint Block - Carpus (Knee),£70.97,£85.16
JOINTBLOCKFETLOCK,Joint Block - Fetlock,£57.42,£68.91
JOINTBLOCKHOCK,Joint Block - Hock (TMT),£70.97,£85.16
KARIDOX/POWDOX,Karidox/Powdox (100mg/ml doxycycline) Oral Solution (per 1 litre bottle),£67.06,£80.47
KARYOTYPINGTEXAS,Karyotyping (Gene Analysis) Texas A&M,£351.85,£351.85
KETABEL10,Ketabel Ketamine 100mg/ml Injectable (per 10ml vial),£23.97,£28.77
KRUTEXSUPERSENSITIVE,Krutex Super Sensitive Arm Length Gloves (per box of 100),£18.35,£22.02
EQUIVETFUNNEL,KRUUSE Equivet Funnel,£34.24,£41.09
KRUUSEIGG,Kruuse IgG Snap Test (per kit),£6.91,£8.29
LABTESTSURCHARGE,"Lab Test After Hours Surcharge (weekends, public holidays)",£27.30,£32.75
LACTASETABS,Lactase 350mg Tablets/Capsules (9000 FCC),£0.26,£0.32
LAMENESS1,Lameness Examination,£64.50,£77.40
LAMENESSFOLLOWUP,Lameness Follow-Up / Re-examination,£49.00,£58.80
LAMINITICPANELRAINBOW,"Laminitic Panel - ACTH, Insulin, Adiponectin, Glucose, Triglycerides (Rainbow L",£73.50,£88.20
LANCEABSCESSHAEMATOMA,Lance and Drain Abscess / Haematoma,£56.25,£67.50
LATEINTEREST8,Late Payment of Commercial Debts (Interest) Act 1998 Statutory 8%,£0.00,£0.00
LATEPAYMENT40,Late Payment of Commercial Debts Act 1998 Statutory Admin Fee,£40.00,£48.00
BITCHPREGFOETAL,Late Pregnancy US Scan and Foetal Viability Assessment,£175.00,£210.00
GLOVES,Latex/Nitrile Gloves (per box of 100),£11.00,£13.20
PEROXIDELAVAGE,Lavage Uterus with 1L 0.5% Peroxide,£48.00,£57.60
ACETYLCYSTEINELAVAGE,Lavage Uterus with 1L Sterile LRS with 6g Acetylcysteine,£64.25,£77.10
IODINELAVAGE,Lavage Uterus with 1L Sterile Povidone Iodine 1%,£48.00,£57.60
DMSOLAVAGE,Lavage Uterus with 50ml DMSO in 1L Sterile Saline,£48.00,£57.60
UTELAV,Lavage Uterus with Sterile Isotonic Fluids,£40.95,£49.14
PCRLAWSONIA,Lawsonia Facecal PCR (Rainbow Lab),£42.00,£50.40
LAWSVACC,Lawsonia Vaccination (per 100ml bottle of live vaccine),£104.67,£125.60
BLOODLDH,LDH Blood Test (Rainbow Lab),£12.00,£14.40
LEPTOCANICOLA,Leptospira canicola Micro-Agglutination Test (MAT) (APHA),£12.88,£15.45
LEPTOICTEROHAEM,Leptospira icterohaemorrhagiae Micro-Agglutination Test (MAT) (APHA),£16.27,£19.53
LIDOCAINE20VIAL,Lidocaine 2% Injection (Local Anaesthetic) (per 20ml vial),£7.17,£8.60
LIVERPCR,Liver Virus Blood PCR (Parvovirus & Hepacivirus),£60.00,£72.00
V1,Local Call-Out (V1) (up to 10 miles round trip),£21.50,£25.80
V2,Local Call-Out (V2) (up to 20 miles round trip),£32.00,£38.40
UTELOWVOLLAV,Low Volume Uterine Lavage for Culture & Cytology (incl sterile fluids & consumables),£40.95,£49.14
LOXICOMORALDOG32,Loxicom Dog (1.5mg/ml Meloxicam) Oral Suspension (per 32ml bottle),£15.63,£18.75
LOXICOMDOGDUALPACK,Loxicom Dog 1.5mg/ml Oral Suspension (2 x 100ml bottles),£54.50,£65.40
LOXICOMDOG100,Loxicom Dog 1.5mg/ml Oral Suspension (per 100ml bottle),£29.25,£35.10
LUTALYSE,Lutalyse (Dinoprost) Prostaglandin (per ml),£1.76,£2.11
TRANSITIONALFOLLICLE,Luteinise Transitional Follicle,£49.75,£59.70
MAGSULPHATE500,Magnesium Sulphate Medical Grade Oral Salt (Epsom Salts) (per 500g dose),£9.00,£10.80
MALASEB,Malaseb Shampoo 250ml,£27.17,£32.60
VAGINALEXAM,"Manual Examination of Vestibule, Vagina & Cervix",£30.90,£37.08
RECTAL,Manual Rectal Examination,£43.75,£52.50
MANUALCYSTREDUCTION,Manual Uterine Lymphatic Cyst Reduction,£65.00,£78.00
DRIP,Manually Administer Intravenous Fluids (per litre),£22.50,£27.00
MANUKA42,Manuka Honey (per 42g tube),£8.98,£10.78
MARBOX,Marbofloxacin Injectable (per ml),£2.40,£2.88
MILKREPLACER10KG,Mare Milk Replacer (per 10Kg bag),£71.35,£71.35
MAXITROL,Maxitrol Eye Ointment,£8.32,£9.98
MEDICATEBACK,Medicate Back,£115.88,£139.05
MEDICATEFCOFFIN,Medicate Coffin Joint,£57.40,£68.88
MEDICATESHIN,Medicate Dorsal Cannon (Shin Bone),£38.50,£46.20
MEDICATEFETLOCK,Medicate Fetlock Joint,£57.50,£69.00
MEDICATEHOCK,Medicate Hock Joint (TMT),£57.50,£69.00
MEDICATEKNEE,Medicate Knee Joint,£57.42,£68.91
MEDICATENAVICULAR,"Medicate Navicular Bursa (Includes Nerve Block, Xrays and Consumables)",£204.71,£245.66
MEDICATENECK,Medicate Neck Facet Joints Under US Guidance,£267.79,£321.35
MEDICATEPASTERN,Medicate Pastern Joint,£81.89,£98.26
MEDICATESI,Medicate Sacro-Iliac Joints,£146.26,£175.51
MEDICATEST,Medicate Soft Tissue (drugs and consumables included),£38.50,£46.20
MEDICATESTIFLE,Medicate Stifle Joint,£70.81,£84.98
TMJ,Medicate Temporomandibular Joint (TMJ),£71.07,£85.28
MEDICATETENDONSHEATH,Medicate Tendon Sheath,£70.81,£84.98
MELOLIN,Melolin 10cm x 10cm Sterile Dressing,£1.50,£1.80
MEPIDOR,Mepidor (Mepivacaine 2%) Injectable (per 10ml vial) (Local Anaesthetic),£25.14,£30.17
METACAMINJ,Metacam (Meloxicam 20mg/ml) Injectable (per ml),£0.63,£0.76
METOCLOPRAMIDETABS,Metaclopramide 10mg Tablets (per tablet),£0.81,£0.97
METRONIDAZOLE400,Metronidazole 400mg Oral (per tablet),£0.27,£0.32
MICROCHIPDOG,Microchip Dog,£27.00,£32.40
MICROCHIPHORSE,Microchip Horse/Foal (Homeagain Classic),£32.75,£39.30
MICROCHIPHORSETHERMO,Microchip Horse/Foal (Homeagain Thermochip),£43.34,£52.01
MICROSCOPESLIDE,Microscope slide (per slide),£0.10,£0.12
MICROSCOPYRAINBOW,Microscopy (Rainbow Lab),£24.00,£28.80
SPINALNEEDLEMILA,MILA 18G 20cm Echo-Tipped Spinal Needle,£32.50,£39.00
MILBEMAXDOG,Milbemax Dog (5-25kg) (per 125mg tablet),£5.33,£6.39
MILBEMAXDOGBOX4,Milbemax Dog (5-25kg) (per box of 4 x 125mg tablets),£21.30,£25.56
MINORPROCEDURES,Minor Procedures (per 15 mins),£97.85,£117.42
MONOCRYL20,Monocryl Suture Material USP 2-0 (per pack),£10.00,£12.00
MUDFEVERCREAM250,"Mud Fever Cream (per 250g tub) (Betamethasone 2%, Nitrofurazone 0.2%, Neomycin 0.55%)",£52.50,£63.00
MYCOPLASMACANISCULTURE,Mycoplasma canis Culture/PCR (APHA),£123.60,£148.32
MYCOTOXINSAMPLING,"Mycotoxin Forage Sampling, Processing, Packaging, International Shipping & Interpretation",£38.21,£45.86
MYORELAX,Myorelax Guaifenesin (GGE) 100mg/ml (per bottle),£133.66,£160.39
TUBECHOKE,Nasogastric Lavage of Oesophageal Choke,£65.66,£78.80
CONSULTNEONATE,Neonatal Foal Consultation,£49.50,£59.40
CONSULTNEONATEPROLONGED,Neonatal Foal Consultation Prolonged,£75.00,£90.00
NERVEABAX,Nerve Block - Abaxial Sesamoid,£56.65,£67.98
NERVEDEEPBRANCH,Nerve Block - Deep Branch,£56.65,£67.98
NERVEHIGH4,Nerve Block - High 4 Point,£60.00,£72.00
NERVELOW4,Nerve Block - Low 4 Point,£60.00,£72.00
NERVEPD,Nerve Block - Palmar Digital,£56.65,£67.98
BLOCKTENDONSHEATH,Nerve Block Tendon Sheath,£70.81,£84.98
NORODINEPASTE,Norodine (TMPS) Oral Paste (per 45g syringe),£7.00,£8.40
EXPORTNI,Northern Ireland Export Certification,£371.21,£445.45
NGSCHILLEDFIRST,Norton Grove Chilled AI Package FIRST CYCLE,£395.00,£474.00
NGSCHILLEDSUBSEQ,Norton Grove Chilled AI Package SUBSEQUENT CYCLES,£345.00,£414.00
NGSFROZENSUBSEQ,Norton Grove Frozen AI Package SUBSEQUENT CYCLES,£437.50,£525.00
NGSFROZENFIRST,Norton Grove Stud Frozen AI Package FIRST CYCLE,£515.00,£618.00
NUCHALTHREADWORM,"Nuchal Threadworm Test (incl biopsy processing, staining & microscopy)",£41.50,£49.80
OESTRONESULPHATE,Oestrone Sulphate Blood Test (Rainbow Lab),£33.00,£39.60
SALESOVDEC,Official Veterinarian Declaration (For Sales EU Export),£36.05,£43.26
OVEXPORTCONSULT,Official Veterinarian Export Consultancy,£0.00,£0.00
OMEPRAZOLEINJ,Omeprazole 100mg/ml Injectable (per 20ml vial),£199.17,£239.01
OPENCASLICK,Open Caslick (drugs and consumables included),£30.50,£36.60
SCHEMEOPENCASLICK,Open Caslick (including drugs and consumables) (Scheme),£0.00,£0.00
OSTEOPEN,Osteopen Injectable (per 10ml vial),£78.50,£94.20
OSTEOPENMULTI,Osteopen Injectable (per 10ml vial) 4 or more,£74.11,£88.93
OOH1,Out Of Hours Call-Out Zone 1,£123.50,£148.20
OOH2,Out Of Hours Call-Out Zone 2,£145.00,£174.00
OOH3,Out Of Hours Call-Out Zone 3,£165.00,£198.00
OOH4,Out Of Hours Call-Out Zone 4,£180.00,£216.00
OOHCONSULTSMALLANIMAL,Out Of Hours Small Animal Consultation,£109.44,£131.33
OOHLOCAL,Out Of Hours Visit Local,£82.50,£99.00
DEBTINTEREST,Overdue Debt Interest Applied Monthly (8% Annual Rate),£0.00,£0.00
HYDROTUBATION,Oviductal Hydrotubation (Fallopian Tube Flushing),£295.00,£354.00
OXYTBOTTLE,Oxytocin 10IU/ml Injectable (per 25ml bottle),£26.50,£31.80
OXYT,Oxytocin 10IU/ml Injectable (per ml),£1.56,£1.87
LABINTERPRET,"Packaging, Delivery, Interpretation and Reporting of Laboratory Results",£5.70,£6.84
PANACURSUSP,Panacur Dog/Cat 10% Suspension (per 100ml bottle),£30.03,£36.04
PANACURGUARD225ML,Panacur Guard Equine Oral Suspension (per 225ml bottle),£35.45,£42.54
PARACETAMOL,Paracetamol (per 500mg tablet),£0.05,£0.06
PARAFFINLQ,Paraffin Liquid 4L,£36.19,£43.43
PDSSUTURE,PDS Ethicon Suture Material,£12.00,£14.40
BOVAPENTOXYPHYLLINE,Pentoxyphylline (425mg/ml) Oral Paste (per 500ml tub),£358.80,£430.56
PEPTIZOLE28TUBES,Peptizole 28 Tubes Special Discount,£372.55,£447.06
PEPTIZOLEBOX,Peptizole Oral Omeprazole Paste (per box of 7 tubes),£130.00,£156.00
PEPTIZOLEBOXSPECIALDISCOUNT,Peptizole Oral Omeprazole Paste (per box of 7 tubes),£112.50,£135.00
PEPTIZOLESINGLE,Peptizole Oral Omeprazole Paste (per syringe),£22.55,£27.06
CASLICK,Perform Caslick's Surgery (drugs & suture material included),£48.67,£58.40
SCHEMECASLICK,Perform Caslick's Surgery (Scheme),£0.00,£0.00
ECGEXAM,Perform Electrocardiogram (ECG),£81.89,£98.26
FLUORESCEINEYE,Perform Fluorescein Eye Test,£12.50,£15.00
MADIGAN,Perform Madigan Procedure (up to 20 minutes),£63.09,£75.71
SWABNP,Perform Nasopharyngeal Swab (includes consumables),£36.05,£43.26
RETENTIONENEMA,Perform Retention Enema,£87.55,£105.06
SKINBIOPSY,Perform Skin Biopsy,£120.00,£144.00
PERGOQUIN,Pergolide 1mg (per tablet),£1.10,£1.32
GADD,Perineal Body Reconstruction (Gadd Procedure),£437.75,£525.30
STRIP,Periosteal Elevation Surgery (“Strip”) (per site),£81.37,£97.64
INDSTOMTUBE,Place Indwelling Nasogastric tube,£101.46,£121.75
MARBLE,Place Intrauterine Acrylic Sphere (Marble),£55.00,£66.00
