Code,Description,Sell price exc VAT,Sell price inc VAT
CATHETERISESHORT,"Place Short-Stay Catheter (includes prep, local anaesthetic, catheter and IV placement)",£36.00,£43.20
PMFOETUS,"PM Foetus & Excise Liver, Lung, Spleen, Thymus, Adrenal & Placenta Samples",£84.46,£101.35
VICRYLPOLYSORB0,Polysorb/Vicryl Suture Material USP 0 (per pack),£10.00,£12.00
PM,Post Mortem Examination,£109.18,£131.02
POSTSD,Postage & Packaging Special Delivery,£9.25,£9.25
POST24,Postage and Packaging Tracked 24,£5.79,£5.79
POST48,Postage and Packaging Tracked 48,£4.95,£4.95
POTASSIUMIODIDE,Potassium Iodide Crystals Oral (per 1kg pot),£270.00,£324.00
SCHEMEHEALTHTESTS,Pre Breeding Health Test Package for Mares on Breeding Scheme,£90.00,£108.00
PRETCI,Pre-TCI examination and certification,£56.00,£67.20
PREDFORTE10,Pred Forte Eye Drops (10ml bottle),£8.14,£9.77
PREDFORTE5,Pred Forte Eye Drops (5ml bottle),£4.04,£4.85
PREDPASTE,Prednisolone 100mg/ml Oral Paste (per 30ml syringe),£75.01,£90.01
PREDTAB5,Prednisolone 5mg Tablet,£0.20,£0.24
PREGBITCH,Pregnancy US Scan Bitch,£66.67,£80.00
PREGSCAN,Pregnancy US Scan Mare,£48.50,£58.20
SCHEMEPREGSCAN,Pregnancy US Scan Mare (Scheme),£0.00,£0.00
XRAYBITCHPREG,Pregnancy X-Ray Bitch,£245.83,£295.00
SEMENEXPORTPAPERS,Prepare Official Semen Export Paperwork (per dog),£43.78,£52.53
PRESSAGEK3,Pressage Bandage Knee Size 3 (K3),£45.83,£55.00
PREVICOX227,Previcox 227mg Tablets (per tablet),£1.27,£1.52
PRIDDELTA,Prid Delta Intrauterine Device,£14.00,£16.80
PROSTIN,Prostin Gel (PGE₂) (per 1mg tube),£55.00,£66.00
PSEUDOEPHEDRINE,Pseudoephedrine 60mg (per tablet),£0.75,£0.90
DEWCLAWPUP,Puppy Dew Claw Removal (Includes local anaesthetic & cautery),£13.65,£16.38
PUPPYVACCDISCOUNT,Puppy Vaccination & Health Check  BREEDERS SPECIAL DISCOUNT,£19.29,£23.15
PYRATAPE,Pyratape (Pyrantel) Wormer (per tube),£10.85,£13.02
PYROFLAMINJ,Pyroflam Injection 50mg/ml (per ml),£13.73,£16.47
QMMSWATERTESTING,QMMS Comprehensive Water Testing,£95.50,£114.60
QMMSWATERKIT,QMMS Priority Water Kit,£18.00,£21.60
XRAYNECK,Radiograph (XRAY) Cervical (Neck) Vertebrae,£319.30,£383.16
XRAYDOG,Radiograph (XRAY) Dog Extremity,£312.50,£375.00
XRAYRADIUS,Radiograph (XRAY) Radius,£196.47,£235.77
XRAYBACK,Radiograph (XRAY) Spine/Back,£266.51,£319.82
XRAYTIBIA,Radiograph (XRAY) Tibia,£196.47,£235.77
XRAYCANNON,Radiograph Cannon Bone (4 views),£196.47,£235.77
XRAYELBOW,Radiograph Elbow,£213.73,£256.47
XRAYFETLOCK,Radiograph Fetlock,£216.30,£259.56
XRAYFOOT,Radiograph Foot (LM & DP),£169.95,£203.94
XRAYHEAD,Radiograph Head,£244.63,£293.55
XRAYHOCK,Radiograph Hock,£235.00,£282.00
XRAYKNEE,Radiograph Knee,£234.33,£281.20
XRAYRADIALPHYSES,Radiograph Radial Physes (Knee Growth Plates),£169.95,£203.94
XRAYREVIEW,Radiograph Set Interpretation,£51.50,£61.80
XRAYSHOULDER,Radiograph Shoulder,£255.00,£306.00
XRAYSTIFLE,Radiograph Stifle,£265.00,£318.00
OSSIFICATIONXRAYS,Radiographs to Assess Cuboidal Bone Ossification,£174.59,£209.50
RAPIDEXON50,Rapidexon Dexamethasone 0.2% Injectable (50ml Bottle),£28.75,£34.50
RAPIDEXON,Rapidexon Dexamethasone 0.2% Injectable (per ml),£0.60,£0.72
RE-EXSMALLANIMAL,Re-examine Small Animal,£36.05,£43.26
REBILL,Rebilling,£0.00,£0.00
RECEPTAL,Receptal (Buserelin 0.004mg/ml) Injectable (per 10ml vial),£28.55,£34.26
RECIPSYNC,Recipient Mare Synchronisation,£225.00,£270.00
REFUND,Refund for OPU Materials,£833.00,£833.00
DIARRHOEAPROFILERAINBOW,"REH Diarrhoea Profile (Clostridium diff, Clostridium perf, Salmonella, Rotavirus, Crypto) (Rainbow L",£110.00,£132.00
RELAQUINE,Relaquine 35mg/ml Oral Gel (per 10ml syringe),£19.50,£23.40
REMOTECONSULT,Remote Specialist Consult (per case - incl review all history & follow-up),£60.00,£72.00
MARBLEOUT,Remove Intrauterine Acrylic Sphere (Marble),£75.00,£90.00
PRIDOUT,Remove Progesterone-Releasing Intravaginal Device (PRID),£0.00,£0.00
REMOVESHOE,Remove Shoe,£15.45,£18.54
REMOVESUTURES,Remove Sutures/Staples,£20.00,£24.00
BLOODRENAL,Renal Profile Blood Test (Rainbow Lab),£70.00,£84.00
RENOFOAM10,Renofoam Self-Adhesive Dressing,£4.79,£5.75
PERINEALLAC1,Repair 1st Degree Perineal Laceration,£69.53,£83.43
REPEATSEMENCOLLECTIONDOG,Repeat Semen Collection Dog (Same Day) (Incl Routine Semen Assessment),£83.33,£100.00
RESCANABD,Repeat Ultrasound Scan Abdomen,£43.75,£52.50
REPEATSCANCHEST,Repeat Ultrasound Scan Chest,£48.90,£58.68
SCANUMBREPEAT,Repeat Ultrasound Scan Umbilical Structures (Navel),£43.26,£51.91
RESPPCR,"Respiratory Profile (Rainbow Lab) Strangles, Flu, EHV1+4 PCR",£92.00,£110.40
RESTOREELECTROLYTES,Restore 400g Oral Rehydration Electrolytes,£11.50,£13.80
RFM1,Retained Foetal Membranes Manual Removal,£100.00,£120.00
RFM2,Retained Foetal Membranes Manual Removal (Prolonged),£150.00,£180.00
RHEUMOCAMEQUINE250,Rheumocam (Meloxicam 15mg/ml) Oral Suspension (per 250ml bottle),£68.00,£81.60
BLOODREQUI,Rhodococcus Equi Serology (Rainbow Lab),£45.00,£54.00
RIFAMPINTABS,Rifampin Oral Capsules (per 300mg capsule),£2.00,£2.40
RIFAMPIN250,Rifampin Oral Paste (per 250ml pot),£214.50,£257.40
VCLIFF,Routine Call-Out Cliff Stud,£41.25,£49.50
VCONSORT,Routine Call-Out Consort Equine Therapies,£34.00,£40.80
VETCHINGHAM,Routine Call-Out Etchingham Stud,£25.00,£30.00
VKEMP,Routine Call-Out Fir Tree Farm (40 miles),£40.00,£48.00
VGARROWBY,Routine Call-Out Garrowby Stud (32 miles),£26.50,£31.80
VCAMACHO,Routine Call-Out JAC Racing / Star Cottage Stables,£10.30,£12.36
VCHAPMAN,Routine Call-Out Karen Chapman (Thorpe),£48.00,£57.60
DENTALROUTINE,Routine Dental Examination and Rasp,£43.78,£52.53
VGLENWOOD,Routine Scheduled Call-Out Glenwood Stud,£46.50,£55.80
VGLENWOODSATSUN,Routine Scheduled Sat/Sun Call-Out Glenwood Stud,£55.00,£66.00
VALBAROSA,Routine Scheduled Visit Albarosa Stud,£55.00,£66.00
VBCS,Routine Scheduled Visit Branton Court Stud,£56.50,£67.80
ROUTINECONSULT,Routine Small Animal Consultation,£43.78,£52.53
VNICHOLLSRACING,Routine Visit Adrian Nicholls Racing (45 miles),£45.00,£54.00
VASHBROOKESTUD,Routine Visit Ashbrooke Stud (150 miles),£150.00,£180.00
VELLISON,Routine Visit Brian Ellison Racing,£10.50,£12.60
VBURSEA,Routine Visit Bursea Lodge Stud (62 miles),£44.50,£53.40
VCOWARD,Routine Visit Coward Racing (24 miles),£24.75,£29.70
VDEC,Routine Visit Declan Carroll Racing,£10.50,£12.60
VSCAVE,Routine Visit Four Acre (51 miles),£51.00,£61.20
VLASKILL,Routine Visit Laskill (44 miles),£45.00,£54.00
VLES,Routine Visit Les Eyre Racing (70 miles),£76.43,£91.71
VNGS,Routine Visit Norton Grove Stud,£10.50,£12.60
VRAPER,Routine Visit Thornton Lodge Farm (40 miles),£40.50,£48.60
VBEDFORD,Routine Visit Thorpe Hill Farm (60 miles),£60.00,£72.00
VWYTCHWOOD,Routine Visit Wytchwood (40 miles),£40.00,£48.00
SALMONELLAPCR,Salmonella Faecal PCR (Rainbow Lab),£34.00,£40.80
TAPTENDONSHEATH,"Sample Tendon Sheath Fluid (incl prep, sterile gloves, consumables + procedure)",£70.81,£84.98
SCALPEL15,Scalpels No. 15 (per scalpel),£0.48,£0.58
VLEAKE,Scheduled Call-Out Leake Stud,£50.00,£60.00
VORCHARD,Scheduled Call-Out Orchard Livery,£38.00,£45.60
SCHEMEFOAL,"Scheme Newborn Foal Exam, Tetanus Antitoxin Inj, Blood Sample, IgG Antibody Test",£0.00,£0.00
WEATHERBYSSCHEME,"Scheme TB Foal Weatherby’s ID, Blood for DNA, Microchip & Postage",£0.00,£0.00
SEDALIN,Sedalin (per 10ml tube),£27.61,£33.13
SEDBUNDLEDOG,Sedate Dog Bundle (drugs & consumables included),£0.00,£0.00
SED1,Sedate Horse (0.1ml Detomidine + 0.1ml Butorphanol),£0.00,£0.00
SED2,Sedate Horse (0.2ml Detomidine + 0.2ml Butorphanol),£0.00,£0.00
SED3,Sedate Horse (0.3ml Detomidine + 0.3ml Butorphanol),£0.00,£0.00
SED4,Sedate Horse (0.4ml Detomidine + 0.4ml Butorphanol),£0.00,£0.00
SED5,Sedate Horse (0.5ml Detomidine + 0.5ml Butorphanol),£0.00,£0.00
SED6,Sedate Horse (0.6ml Detomidine + 0.6ml Butorphanol),£0.00,£0.00
SED7,Sedate Horse (0.7ml Detomidine + 0.7ml Butorphanol),£0.00,£0.00
SED8,Sedate Horse (0.8ml Detomidine + 0.8ml Butorphanol),£0.00,£0.00
SED9,Sedate Horse (0.9ml Detomidine + 0.9ml Butorphanol),£0.00,£0.00
SED10,Sedate Horse (1.0ml Detomidine + 1.0ml Butorphanol),£0.00,£0.00
SED11,Sedate Horse (1.1ml Detomidine + 1.1ml Butorphanol),£0.00,£0.00
SED12,Sedate Horse (1.2ml Detomidine + 1.2ml Butorphanol),£0.00,£0.00
SED13,Sedate Horse (1.3ml Detomidine + 1.3ml Butorphanol),£0.00,£0.00
SED14,Sedate Horse (1.4ml Detomidine + 1.4ml Butorphanol),£0.00,£0.00
SED15,Sedate Horse (1.5ml Detomidine + 1.5ml Butorphanol),£0.00,£0.00
SEDATECLIPPING,"Sedate Horse for Clipping (incl drugs, consumables, monitoring & top-ups)",£21.84,£26.20
SEDATEDENTIST,"Sedate Horse for Dentist (incl drugs, consumables, monitoring & top-ups)",£21.84,£26.20
SEDATEFARRIER,"Sedate Horse for Farrier (incl drugs, consumables, monitoring & top-ups)",£21.84,£26.20
SEDATESURGERY,"Sedate Horse for Surgery (incl drugs, consumables, monitoring & top-ups)",£21.84,£26.20
SEDATETRAVEL,"Sedate Horse for Travel (incl drugs, consumables, monitoring & top-ups)",£0.00,£0.00
SEDBUNDLE,Sedate Horse/Foal (drugs & consumables included),£21.84,£26.20
SEDFEEEQ,Sedation fee equine,£25.75,£30.90
SEDFEESA,Sedation fee small animal,£64.38,£77.25
SEDEDORM,Sededorm Medetomidine HCl 1mg/ml (per ml),£14.28,£17.13
SEDIVET,Sedivet (Romifidine 1%) Injection (per ml),£5.63,£6.75
SEMENALKPHOS,Semen Alkaline Phosphatase Test,£17.49,£20.99
FREEZESEMEN,"Semen Analysis, Processing & Freezing (Excludes Collection)",£275.00,£330.00
CENTRIFUGECYTOLOGY,Semen Centrifuge and Cytology,£41.25,£49.50
SEMENFREEZELARGE,Semen Collect & Freeze (incl clinical examination & semen analysis pre+post-thaw),£338.75,£406.50
SEMENCOLLECTIONSUBSEQ,Semen Collection Dog (per additional 15 minutes),£54.79,£65.75
SEMENCOLLECTIONDOG,Semen Collection Dog (Up to 15 mins) (Incl Routine Semen Assessment),£115.00,£138.00
SEMENCOLLECTTCIBUNDLE,Semen Collection Dog For Chilled/Fresh TCI (Up to 15 mins) (Incl Routine Semen Assessment),£0.00,£0.00
BLOODSAA,Serum Amyloid A (SAA) Blood Test (Rainbow Lab),£14.00,£16.80
LH,Serum Luteinising Hormone (LH) Assay,£64.38,£77.25
TCICATHETER,Single Use Minitube Transcervical Catheter & Guidewire,£25.80,£30.96
SMALLANIMALCONSULT,Small Animal Consultation,£34.33,£41.20
SMALLANIMALOOH,"Small Animal Out Of Hours Surcharge (Sat, Sun, Public Holiday)",£162.23,£194.67
CLAIMFEE,Small Claims Court Statutory Claim Fee,£41.67,£50.00
SOFBAN,Sofban Orthopaedic Padding 10cm x 2.7m (per roll),£1.80,£2.16
SOFTPALATE,Soft Palate Thermocautery (Standing Surgery),£507.50,£609.00
SOMULOSE,Somulose Injectable (per ml),£3.00,£3.60
SOTALOL80,Sotalol 80mg tablets (per pack of 28),£2.05,£2.46
SPASMIUMCOMP,Spasmium (Buscopan) Compositum (per 100ml bottle),£63.93,£76.71
SV1,Special Call-Out 1 (up to 10 miles),£43.78,£52.54
SV2,Special Call-Out 2,£64.38,£77.26
SVELLISON,Special Visit Brian Ellison Racing,£21.00,£25.20
SVDEC,Special Visit Declan Carroll Racing,£21.00,£25.20
SPECIALMILEAGE,Special Visit Fee (£2 per mile travelled),£2.00,£2.40
SVGARROWBY,Special Visit Garrowby Stud (within normal working hours),£53.00,£63.60
SVHIGHFIELD,Special Visit Highfield Yard,£20.60,£24.72
SVLES,Special Visit Les Eyre Racing (70 miles),£152.85,£183.42
SVNGS,Special Visit Norton Grove Stud,£21.00,£25.20
SPECIALISTCONSULT,Specialist Reproductive Consultation,£190.55,£228.66
SPERMLONGEVITY,Sperm Longevity Assessment with Chilled Extender (up to 7 days),£133.33,£160.00
MORPHOLOGY,Sperm Morphology Assessment,£77.50,£93.00
SPUTOLOSIN,Sputolosin (Dembrexine 5mg/g) Oral Powder (per 420g tub),£71.06,£85.27
LIVERY,Stable Livery (per day),£30.90,£37.08
CEMCULTURESTALLION,Stallion Penile CEM Culture from 3 or 4 Sites (Rainbow Lab),£65.00,£78.00
STALLIONFREEZE,Stallion Semen Freezing (per breeding dose),£12.88,£15.45
STALLIONSDIRECTDISTRIB,Stallions Direct Frozen Semen Processing for Distribution,£120.00,£144.00
STALLIONSDIRECTSTANDINGCHARGE,Stallions Direct Standing Charge (Use of Facilities & Nitrogen Top-Ups),£25.00,£30.00
STANDARDMILEAGE,Standard Call-Out Fee (£1 per mile travelled),£1.00,£1.20
STANDINGSURGERY,Standing Surgical Time (per hour),£343.92,£412.70
STEGLATRO,Steglatro (Ertugliflozin) 15mg (per tablet),£2.94,£3.53
STERILESALINE,Sterile Isotonic Saline for Injection (per ml),£0.12,£0.14
WATERFORINJ,Sterile Water for Injection (per ml),£0.07,£0.09
TUBEB,Stomach Tube Horse/Foal,£0.00,£0.00
TUBEH,Stomach Tube Horse/Foal,£53.50,£64.20
STRANGLESPCR,Strep equi equi (Strangles) PCR (Rainbow Lab),£32.00,£38.40
BLOODSTRANGLES,Strep equi equi (Strangles) Serology (Rainbow Lab),£32.00,£38.40
STRONGHOLD20to40,Stronghold Large Breed Dog (20-40Kg) (per 3 pipette box),£25.14,£30.17
STRONGIDP,Strongid P Paste (per tube),£9.16,£10.99
SUCRALFATEPASTE250,Sucralfate 500mg/ml Oral Paste (per 250ml tub),£156.00,£187.20
SUCRALFATEPOWDER250,Sucralfate Oral Powder (per 250g pot),£62.00,£74.40
SUCRALFATEPOWDER500,Sucralfate Oral Powder (per 500g pot),£112.00,£134.40
SUDOCREM,Sudocrem 400g,£11.60,£13.92
SUPRELORIN4,Suprelorin (4.7mg deslorelin) GnRH Implant Placement,£128.81,£154.58
SURGEONFEE,Surgeon Fee,£1.03,£1.24
SURGICALSPIRIT,Surgical Spirit 5L,£33.02,£39.62
ENTROPION,Suture Lower Eyelids to Correct Entropion,£57.94,£69.53
SWABCERVIX,Swab Cervix/Uterus (Incl Double-Guarded Swab & Charcoal Transport Swab),£38.11,£45.73
SWABCLIT,Swab Clitoral Fossa & Sinuses (Incl Micro-Tip Charcoal Transport Swab),£18.00,£21.60
SWABCORNEA,Swab Cornea for Culture/Cytology (includes local anaesthetic and consumables),£26.27,£31.52
VAGINALSWAB,Swab Cranial Vagina for Microbiology,£22.15,£26.57
STALLIONSWABS,"Swab Stallion Urethra, Urethal Fossa & Penile Shaft/Prepuce",£77.25,£92.70
SWABSITE,Swab Tissue (Incl Standard-Tip Charcoal Transport Swab),£18.03,£21.63
SYNOQUINLARGE,Synoquin Large Breed Dog Tablets (per box of 120),£69.30,£83.16
TAPCOFFIN,Synovial Tap Coffin Joint,£57.42,£68.91
TAPSTIFLE,Synovial Tap Stifle Joint,£71.07,£85.28
BS,Take & Process Blood Sample,£17.50,£21.00
TAPFETLOCK,Tap Fetlock Joint,£57.42,£68.91
TAPHOCKTC,Tap Hock Tarsocrural Joint,£57.50,£69.00
TAPHOCKTMT,Tap Hock Tarsometatarsal Joint,£57.50,£69.00
WEATHERBYS,"TB Foal Weatherby’s ID, Blood Sample for DNA, Microchip & Postage",£87.55,£105.06
MAREBUNDLE,"TB Mare Pre-Breeding EVA, EIA + Clitoral CEM Culture (incl sampling, lab fees & consumables)",£0.00,£0.00
DRY TBSCHEME,TB Mare Scheme (Barren/Maiden),£745.00,£894.00
WET TBSCHEME,TB Mare Scheme (Foaling Mare),£910.00,"£1,092.00"
ELASTOPLAST7,Tensoplast Adhesive Bandage (per 7.5cm roll),£8.13,£9.76
50MLSYRINGES,Terumo 3 Part 50ml Syringes (per box),£12.57,£15.08
TERUMOGUIDEWIRE,"Terumo Single-Use Angio Guidewire Straight 0.018"" 260cm",£68.00,£81.60
TOTALPROTEIN,Test Body Fluid Total Protein (Alb/Glob),£24.00,£28.80
6002119,Test med,£2.00,£2.40
TESTPRODUCT,Test product,£6.00,£7.20
TESTOSTERONE,Testosterone Blood Test (Rainbow Lab),£32.00,£38.40
TAT50,Tetanus Antitoxin Injection (per 50ml bottle),£190.96,£229.15
TATPERML,Tetanus Antitoxin Injection (per ml),£3.33,£4.00
AXIOMTHYROIDPANEL,Thyroid Standard Panel (TT4 & cTSH) (Axiom Lab),£48.37,£58.04
THYRONORM100,Thyronorm (Thiamazole 5mg/ml) Oral Solution (per 100ml bottle),£54.09,£64.91
THYRONORM30,Thyronorm (Thiamazole 5mg/ml) Oral Solution (per 30ml bottle),£21.65,£25.97
TORBUGESIC,Torbugesic (Butorphanol 10mg/ml) Inj per ml,£22.00,£26.40
BLOODTOTALCALCIUM,Total Calcium Blood Test (Rainbow Lab),£12.00,£14.40
TRACHWASH,Tracheal Wash (includes sterile fluids and consumables),£27.30,£32.75
TRACHEOSTOMYTUBE,Tracheostomy Tube (Temporary Placement and Hire of Device),£123.60,£148.32
TRANQUINERVIN,Tranquinervin Acepromazine (ACP) 10mg/ml Injectable (per ml),£10.16,£12.19
SCANFOETUS,Transabdominal Ultrasonographic Foetal Wellbeing Assessment,£131.33,£157.59
RECTALUSBLADDER,Transrectal Ultrasound Exam Bladder,£49.18,£59.02
SCANVAGINA,"Transvaginal Ultrasound Exam of Vagina, Cervix, Bladder + Perirectal Area",£56.65,£67.98
TRAZODONE150,Trazodone 150mg Tablet,£4.17,£5.00
TRENTALTABS,Trental (400mg Pentoxyphylline) (per tablet),£0.66,£0.79
TRIMED,Trimediazine Oral (Box of 10 Sachets),£49.75,£59.70
TROT,Trot Up Horse,£18.00,£21.60
DOURINE,Trypanosoma equiperdum (Dourine) CFT Test (APHA),£40.38,£48.45
TUFFROCK,Tuff Rock Foal Plus (per 1L container),£59.43,£71.32
TWIN,Twin Reduction (14-16 days),£90.00,£108.00
TWINSCHEME,Twin Reduction (14-16 days) (Scheme),£0.00,£0.00
VETTING2STAGE,Two Stage Pre Purchase Vetting Examination (includes 6 months VDS blood storage),£255.00,£306.00
INSURANCEVETTING2STAGE,Two Stage Vetting Examination for Insurance,£155.00,£186.00
SCANABD,Ultrasound Scan Abdomen,£71.50,£85.80
SCANCHEST,Ultrasound Scan Chest,£71.60,£85.92
DISCOUNTCHESTSCAN,Ultrasound Scan Chest Special Discount,£35.50,£42.60
SCANMARE,Ultrasound Scan Mare Reproductive Tract,£48.50,£58.20
SCANPELVIS,Ultrasound Scan Pelvis,£90.50,£108.60
SCANPLACENTA,Ultrasound Scan Placenta & Foetus (Per-Rectum),£70.00,£84.00
SCANST,Ultrasound Scan Soft Tissue,£54.59,£65.51
SCANTENDON1,Ultrasound Scan Tendons/Ligaments,£108.00,£129.60
SCANTENDONFOLLOWUP,Ultrasound Scan Tendons/Ligaments - Follow Up Exam,£77.25,£92.70
SCANTENDON2,Ultrasound Scan Tendons/Ligaments Prolonged,£158.00,£189.60
SCANTESTICLESDOG,Ultrasound Scan Testicles Dog,£144.20,£173.04
SCANUMB,Ultrasound Scan Umbilical Structures (Navel),£57.17,£68.60
ASPIRATEUTERINEFLUID,Ultrasound-Guided Aspiration of Uterine Fluid,£66.00,£79.20
TENDONSPLITTING,Ultrasound-Guided Tendon Splitting Surgery,£311.16,£373.40
RINGHERNIA,Umbilical Hernia Ring Repair,£85.00,£102.00
EXPORTUS,"United States Export Certification (Incl Pre-Export Documentation, Clinical Exam & Final Export Cert",£179.06,£214.87
SVCAMACHO,Unscheduled Call-Out Malton Racing Yard,£20.60,£24.72
FAILEDSEMENCOLLECTIONDOG,Unsuccessful Semen Collection Dog,£75.00,£90.00
VIDEOSCOPESALES,Upper Respiratory Videoendoscopy for Sales (includes upload to repository),£97.85,£117.42
URINALYSIS,Urinalysis Lab Fee,£19.83,£23.79
URINEGGTCREATRATIO,Urine GGT:Creatinine Ratio (Rainbow Lab),£24.00,£28.80
PYOSCANBITCH,US Scan Bitch Uterus for Pyometra,£75.00,£90.00
SCANDOGPROSTATE,US Scan Dog Prostate,£77.25,£92.70
SCANBITCHREPRO,US Scan Female Reproductive Tract,£212.50,£255.00
SCANDOGREPRO,US Scan Male Genitourinary Tract,£169.95,£203.94
UTEBIOPSY,Uterine Biopsy,£81.89,£98.26
UTECYTCULSENS,"Uterine Culture, Sensitivity & Cytology (Rainbow Lab)",£40.00,£48.00
PIPETTE,Uterine Infusion Pipette,£0.75,£0.90
ULVL,Uterine Large Volume Lavage,£51.50,£61.80
UTETUBE,Uterine Lavage Catheter (single use),£2.34,£2.81
UTROGESTAN,Utrogestan 100mg (per capsule),£0.66,£0.79
VDSKIT,VDS Blood Sampling Kit (Incl Postage & 6 Months Storage),£27.46,£32.95
VENTIPULMININJECTABLE,Ventipulmin (Clenbuterol) Injectable (per ml),£2.20,£2.64
VENTIPULMINGRANS,Ventipulmin Oral Granules (per 500g tub),£68.82,£82.59
VENTIPULMINSYRUP,Ventipulmin Oral Syrup (per 355ml bottle),£65.94,£79.13
RABIESVACC,Versiguard Rabies Vaccination,£30.32,£36.38
VW,Vet Wrap Premium Cohesive Conforming Bandage (per roll),£2.28,£2.74
VETCT,VetCT Remote Consultancy (per case),£36.05,£43.26
VETERICYN500,Vetericyn VF 500ml wound spray,£23.75,£28.50
VETIVEX100,Vetivex 1 Sterile Isotonic Solution (per 100ml bag),£6.52,£7.82
XRAYVETTING,Vetting Radiography (includes up to 48 plates),£808.55,£970.26
SCOPESTANDARD,Video-Endoscopic Examination,£103.00,£123.60
SCOPETRAINER,Video-Endoscopic Examination (Trainers Special Discount),£81.50,£97.80
CYSTOSCOPY1,"Videoendoscopic Bladder, Urethra & Trigone",£141.63,£169.95
HYSTEROSCOPY,"Videoendoscopic Examination of Vagina, Cervix & Uterus (Hysteroscopy)",£180.25,£216.30
VM,Visit Malton Racing Yard,£10.50,£12.60
VBARKER,Visit Pasture House Farm (Paul Barker) (62 miles round trip),£51.00,£61.20
VITBCOMPLEX,Vitamin B Complex Pro (ND) Injectable (per ml),£0.54,£0.65
VITBCOMPLEXTROY,Vitamin B Complex TROY Injectable (per ml),£0.90,£1.08
FRAGILEFOAL,Warmblood Fragile Foal Syndrome (WFFS) Genetic Test (Laboklin),£43.67,£52.41
WETWIPES,Wet Wipes (per pack),£0.83,£1.00
WCC,White Cell (Inflammatory Cell) Count (Rainbow Lab),£12.00,£14.40
6002715,WRITE OFF DEBT,£0.00,£0.00
PRESCRIPTION,Written Prescription,£20.60,£24.72
REPORT,Written Veterinary Reporting (per 15 minutes),£32.50,£39.00
YPOZANE3.75,Ypozane 3.75mg (per tablet),£6.00,£7.20
ZYLEXIS,Zylexis Immune Stimulant (Inactivated Parapox ovis virus),£34.35,£41.22
